State,Wall follower,Guidance
1110,-0.07950307987485516,0
1117,-0.09899999999999998,0
0000,0.40565337121421724,0.3970086263293653
0007,1.8916185989354197,0.4056534204071556
0003,0.33551328794309476,0.721411403669327
0110,1.297594751617145,-0.9888336755416506
0106,0.5182064583797213,0.0
0117,0.6165856620450688,-0.6706964143003985
0005,0.09510351218253332,0.698303767129319
1000,0.29114346372257394,0.3951830966783529
1103,0.005911460999999996,0.0
0002,0.1603544082569357,0.48248592701729476
1014,0,0.30540537595905604
0116,0.21585550837980585,0.243726406108934
0100,0.0,0.22866573109454238
0017,0.2994418350658459,0
0115,0.0013920272939359599,0.1722548253524885
1115,0.032698092771374365,-0.9
1101,0.45405394213143063,-0.24345038259689503
0113,0.6734877894513703,0.35929557068797663
0114,0,0.4257072484360227
0102,0.38480854879497917,0.0
0015,0.30905755176869093,0.19309241934290694
0001,0.36185691674915876,0.33792090464681546
1007,0.5472977022162927,0.0
0111,0.4758070345280633,0.34432739419919645
1111,0.5488291772471816,-0.08999999999999997
1112,0.044787963689581364,-0.9
0013,0.5194640203162817,0.10715316513815229
1005,0.6258547251273198,0.0
1106,0.5835086853134106,-0.3241666994543348
1015,0,0.34027477136028733
0016,0.02084656016035294,0.23332492986493528
0105,0.027840545878719203,0
0011,0.4179882054446607,0.031132692908395727
1003,0.035434733259208706,0.6093208120794191
1104,0.5604977746996932,0.5937282326253626
0014,1.1365543467137047,0.22108398279039654
1006,0.46960001865961437,0.5015085989032205
1116,0.0,0.03205601195676369
0004,0.7201810557670818,0.12671847720130847
1001,0.0645213969296305,0.27714825590114067
1102,0.082226756450344,0.06267694653701825
0012,0.09301811074634012,0.7284385932844568
1004,1.3597632242653375,0.03937192584356523
0101,0.0,0.0
1107,0.5463670292245745,-1.1093475112076439
0006,0.6983037736115861,2.7916185989521023
1100,0.47786477133766675,-0.9338700396064094
0112,0.595357731904664,-0.5264566867113423
0104,0.0,0.12528245645423644
0010,0.49802880760933,0.1857223619673033
1002,0.0,0.5441665768307307
0103,0.0,0.04945017383219994
1105,0.5937307406306405,-0.9
0107,0.20735583730974977,0.2131282846460297
