Trial,Duration,Number of bumps into walls
1,40.630000000000003,14
2,71.400000000000006,29
3,135.59,24
4,128.71000000000001,38
5,90.400000000000006,66
6,66.609999999999999,59
7,70.200000000000003,2
8,48.299999999999997,17
9,104.88,43
10,91.719999999999999,9
