Trial,Duration,Number of bumps into walls
1,107.42,3
2,65.299999999999997,8
3,26.300000000000001,0
4,69.700000000000003,1
5,38.200000000000003,9
6,48.899999999999999,4
7,37.899999999999999,0
8,36.310000000000002,0
9,31.600000000000001,0
10,43.689999999999998,0
11,26.510000000000002,0
12,67.799999999999997,0
13,53.990000000000002,2
14,29.199999999999999,0
15,80.5,7
16,47.82,12
17,48.520000000000003,2
18,33.890000000000001,0
19,0.10000000000000001,0
20,52.5,0
21,48.100000000000001,1
22,38.799999999999997,0
23,56.100000000000001,3
24,71.680000000000007,1
25,32.700000000000003,0
26,211.0,11
27,40.799999999999997,0
28,24.100000000000001,0
29,64.0,1
30,60.210000000000001,1
31,59.0,1
32,19.510000000000002,0
33,34.600000000000001,0
34,83.099999999999994,5
35,21.399999999999999,0
36,21.800000000000001,0
37,92.890000000000001,0
38,46.899999999999999,0
39,57.899999999999999,0
40,137.69999999999999,1
41,20.399999999999999,0
42,118.8,0
43,36.100000000000001,2
44,45.600000000000001,0
45,45.899999999999999,0
46,42.0,0
47,66.599999999999994,1
48,79.900000000000006,4
49,25.399999999999999,13
50,31.82,0
51,47.700000000000003,1
52,54.700000000000003,0
53,52.899999999999999,3
54,58.479999999999997,0
55,47.710000000000001,6
56,41.5,0
57,31.800000000000001,0
58,50.100000000000001,0
59,51.200000000000003,0
60,56.310000000000002,0
61,71.590000000000003,5
62,41.399999999999999,0
63,47.600000000000001,0
64,47.799999999999997,1
65,114.31,2
66,73.299999999999997,1
67,39.100000000000001,0
68,47.200000000000003,0
69,48.890000000000001,1
70,62.009999999999998,1
71,39.200000000000003,0
72,37.789999999999999,0
73,63.399999999999999,0
74,39.299999999999997,3
75,34.600000000000001,0
76,33.509999999999998,0
77,38.289999999999999,0
78,64.569999999999993,2
79,90.700000000000003,20
80,92.510000000000005,38
81,0.10000000000000001,0
82,45.5,0
83,138.90000000000001,41
84,96.810000000000002,5
85,53.0,0
86,57.799999999999997,2
87,0.089999999999999997,0
88,83.400000000000006,0
89,39.299999999999997,0
90,168.09999999999999,83
91,0.10000000000000001,0
92,45.100000000000001,3
93,22.699999999999999,0
94,119.36,8
95,26.530000000000001,0
96,0.070000000000000007,0
97,349.08999999999997,60
98,77.010000000000005,8
99,100.98,9
100,128.24000000000001,0
101,69.5,4
102,45.590000000000003,0
103,26.399999999999999,0
104,32.189999999999998,0
105,19.91,0
106,43.979999999999997,0
107,36.229999999999997,0
108,61.240000000000002,1
109,33.490000000000002,0
110,56.200000000000003,0
