State,Wall follower,Guidance
1110,0,0
1117,0,0
0000,0.0,0.0
0007,0.0,0.0
0014,0.0,0.0
0006,0.0,0.0
0111,0.0,0.0
1103,0.0,0.0
0114,0,0.0
0002,0.0,0.0
0110,0.0,0.0
1111,0.0,0
1006,0.0,0.0
1116,0.0,0.0
1007,0.0,0.0
0012,0.0,0.0
0005,0.0,0.0
1112,0.0,0.0
0113,0.0,0.0
0100,0,0.0
1004,0.0,0.0
0101,0.0,0.0
1005,0.0,0.0
1107,0.0,0.0
1106,0.0,0.0
1101,0.0,0
1100,0.0,0.0
0112,0.0,0.0
0015,0.0,0.0
0011,0.0,0.0
1115,0,0.0
1002,0.0,0
1003,0.0,0.0
0001,0.0,0.0
1105,0.0,0.0
1104,0.0,0.0
