State,Wall follower,Guidance
1110,-0.05106563701821461,-1.037810194738234
1117,0.07125243216592245,-0.26819974558092285
0000,0.1909742131619714,0.1942421406509807
0007,0.26765036070407455,0.323162870650699
0003,0.25204014341246433,0.24329265110793155
0110,-0.039184601798492716,-0.3235625096861131
0106,0.06859688926354784,-0.026393711806797143
0117,0.06139524210227583,-0.06687254364143347
0005,0.15010098341362896,0.20976841307644042
1000,0.1714593449183815,0.16741315561735878
1103,0.04121214754550783,0.038084428827177746
0002,0.22968618967490578,0.2909865734737118
1014,0.0611465285194734,0.07218251057976295
0116,0.08481279737848874,-0.05066435999158836
0100,-0.048611161411464904,-0.08303111052630274
0017,0.24411719736358753,0.22634979010717757
0115,0.09106590027675415,0.08420001752557876
1115,0.08981750350835782,-0.10911311361917489
1101,0.04657257794136432,0.08023623935629948
0113,0.13427895266040496,0.1002962085726303
0114,0.047239233583490664,0.10683634827133086
0102,0.006123438845574727,0.01093396496373332
0015,0.18489596572940883,0.16619256898080248
0001,0.21667708689391502,0.1309750358347413
1007,0.1607034515783712,0.1486835481396567
0111,0.09242216898194403,-0.05270554250994884
1111,0.0278791544851674,-0.2940895224354648
1112,0.005141009740753533,-0.5748804109989893
0013,0.17686015996532028,0.10485013484068194
1005,0.12826859256199932,0.1316215052232264
1106,0.08591185661918643,-0.24454155019196253
1015,0.09389539638329472,0.022012750267010425
0016,0.3139636610539443,0.1662097013936392
1012,0.000643466374060314,0.0
0105,0.0032061703773576212,0.04150203101114789
0011,0.13725528822517002,0.11513468009472656
1003,0.11734592951123639,0.1303710623179638
1104,0.11883740811061713,0.10108502861146726
0014,0.19308495383052898,0.12793263907291044
1006,0.16574832162539813,0.1394985281879651
1116,0.08697535276565632,-0.5272286247705771
0004,0.20991086625763045,0.20731405115224696
1001,0.14522465048508768,0.24399491177655708
1102,0.08384863778222071,0.06603954562118154
0012,0.14483060577012052,0.15161295841795897
1004,0.17987338049104812,0.11303498606505678
0101,-0.004230025505117406,0.05133934625717214
1107,0.10858791229794733,-0.3909384904348227
0006,0.6189516389136231,0.3064579060654538
1100,0.11181684914852631,-0.16393642300461908
1013,0.0422445346240451,0
0112,0.12263380166278962,0.07330506586342245
0104,0,0.0
0010,-0.04324609002532531,0.09518755226650076
1002,0.193365721241094,0.16053784252500417
0103,0,0.006202965892692074
1105,0.10321628844258467,-0.30000007251753996
0107,0.05700873002529348,-0.3413650308006457
